Locations,CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice
 Porto Santo,30.6,93.0,120.85285848172447,157.83480000000003,211201.93243243243,600.0
 Ribeira Brava,28.9,68.0,95.40177207454936,180.4805,294461.53846153844,0.0
 Ponta do Sol,13.4,55.0,92.02334630350195,57.043800000000005,261605.26315789475,300.0
 Vila Nova de Poiares,19.7,70.0,80.67495559502665,134.2161,0.0,0.0
 Vila Nova da Barquinha,20.1,72.0,73.75328083989501,73.42530000000001,129504.54545454546,300.0
 Tarouca,17.8,63.0,73.6810551558753,131.2572,0.0,0.0
 Paredes de Coura,25.0,66.0,62.493668138070774,215.9,0.0,0.0
 Miranda do Corvo,16.2,67.0,56.29055230257953,115.2468,101731.55263157895,300.0
 Penalva do Castelo,19.3,58.0,54.637486973351194,141.662,0.0,0.0
 Belmonte,34.3,71.0,52.239811384304474,212.79719999999998,0.0,0.0
 Murtosa,25.7,69.0,48.02298536051443,90.207,155127.27272727274,0.0
 Borba,26.1,73.0,44.273021557958536,167.7708,0.0,0.0
 Velas,34.5,83.0,42.08553416254899,170.43,0.0,0.0
 Penela,17.4,69.0,40.37833827893175,94.70819999999999,0.0,0.0
 Mondim de Basto,22.4,59.0,37.28498372849837,143.7184,101071.42857142857,0.0
 Santa Cruz da Graciosa,33.0,73.0,28.684470820969338,57.42,75500.0,0.0
 Soure,15.7,70.0,28.14834377122161,117.1377,95152.13043478261,0.0
 Carregal do Sal,27.9,70.0,27.63281717854393,90.117,120333.33333333333,0.0
 Ribeira de Pena,21.2,63.0,27.071645360066217,124.8044,0.0,0.0
 Celorico da Beira,25.8,65.0,26.624059542108245,169.81560000000002,0.0,0.0
 Vila Nova de Paiva,17.3,62.0,26.54816840426138,80.618,164500.0,0.0
 Aguiar da Beira,16.8,67.0,25.284132127484643,87.83040000000001,0.0,0.0
 Sernancelhe,16.2,58.0,24.990157910852542,92.55059999999999,0.0,0.0
 Resende,22.0,59.0,24.961491690312123,67.738,150793.33333333334,0.0
 Manteigas,15.7,63.0,23.84817183144778,45.671299999999995,0.0,0.0
 Moita,34.4,81.0,23.470865001809628,44.6168,106854.23841059602,550.0
 Sardoal,28.5,68.0,23.44004340748779,61.56,117088.88888888889,0.0
 Trancoso,19.1,66.0,23.287784908165523,160.80290000000002,0.0,0.0
 Terras de Bouro,26.0,63.0,22.918618900021627,165.334,0.0,0.0
 Vila Flor,32.8,62.0,22.813287686693503,198.89919999999998,0.0,0.0
 Corvo,40.4,76.0,22.55990648743425,15.5944,200000.0,0.0
 Maia,26.8,110.0,21.60598022666988,48.0256,55500.0,0.0
 Penedono,16.7,62.0,20.42479994016902,45.607699999999994,0.0,0.0
 Madalena,32.3,89.0,19.6642196846112,93.4439,429795.8904109589,1633.3333333333333
 Porto Moniz,26.4,56.0,19.126869271587072,41.8704,186700.0,0.0
 Cuba,20.9,67.0,17.978964495322217,64.6646,105000.0,0.0
 Reguengos de Monsaraz,22.8,89.0,14.60344827586207,154.49280000000002,129457.0,200.0
 Redondo,22.3,71.0,14.232361776406593,117.2757,135244.44444444444,350.0
 Vila de Rei,22.8,66.0,13.53693552597233,59.120400000000004,123954.54545454546,500.0
 Moimenta da Beira,26.2,66.0,12.924489703141338,74.4866,125000.0,0.0
 Armamar,14.9,63.0,12.888092801091778,22.513900000000003,145000.0,0.0
 Castro Daire,17.2,64.0,12.040945546644153,78.5008,136008.33333333334,200.0
 Ferreira do Alentejo,32.5,72.0,11.841841378565588,249.47,0.0,0.0
 Castelo de Vide,26.0,81.0,11.781359707070324,81.146,0.0,0.0
 Chamusca,22.8,71.0,11.44220586855404,194.62080000000003,0.0,0.0
 Nordeste,23.9,62.0,11.441805459741795,27.747899999999998,100257.14285714286,0.0
 Lajes do Pico,21.9,70.0,11.093941149958148,37.7337,110000.0,0.0
 Monchique,28.5,61.0,11.07007336200354,124.716,291029.4117647059,0.0
 Vieira do Minho,25.6,67.0,10.963777490297542,60.7488,200216.66666666666,0.0
 Mogadouro,18.6,67.0,10.91697889962532,154.45440000000002,159840.0,0.0
 Castro Marim,33.9,71.0,10.886185347693127,111.0225,189944.44444444444,733.3333333333334
 Fornos de Algodres,19.2,58.0,10.87866108786611,27.456,44500.0,0.0
 Gouveia,25.6,65.0,10.482019892884468,80.66560000000001,0.0,0.0
 Nisa,21.6,73.0,10.337340188993887,128.54160000000002,0.0,0.0
 Calheta,21.8,77.0,10.082369713290037,27.7514,327339.28571428574,600.0
 Alandroal,17.4,64.0,9.226431783002875,87.1218,0.0,0.0
 Arronches,12.3,71.0,8.86381693945654,34.304700000000004,0.0,0.0
 Macedo de Cavaleiros,23.2,73.0,8.780787825042195,142.42479999999998,80860.0,375.0
 Vidigueira,30.5,72.0,8.401503426929029,81.13,109828.57142857143,0.0
 Crato,22.6,72.0,8.101590172582712,72.885,0.0,0.0
 Lajes das Flores,23.3,74.0,8.022840827980014,13.0946,159300.0,0.0
 Sabrosa,20.6,61.0,7.239357634463421,23.401600000000002,200000.0,0.0
 Vila Pouca de Aguiar,22.5,63.0,7.147596494840643,70.29,141500.0,462.5
 Fronteira,17.7,79.0,6.818181818181818,30.0015,89000.0,0.0
 Pinhel,29.9,62.0,6.804672665731033,98.5803,189450.0,0.0
 Viana do Alentejo,22.7,79.0,6.431782965427896,57.4764,103968.18181818182,250.0
 Seixal,23.3,89.0,6.42221058145626,14.2829,275604.7244094488,676.0
 Sousel,23.6,69.0,6.372619218101103,42.008,55000.0,700.0
 Mora,28.0,82.0,4.987048091001239,61.992,77800.0,0.0
 Torre de Moncorvo,32.5,62.0,4.913838513055912,84.89,87025.0,0.0
 Penacova,15.5,63.0,4.909334194620034,16.492,66655.0,0.0
 Arraiolos,20.5,73.0,4.582084095063985,64.2265,123484.21052631579,400.0
 Alvito,36.1,66.0,4.504436473475552,43.0673,179766.66666666666,0.0
 Alcoutim,32.3,67.0,4.381604560622915,81.4283,0.0,0.0
 Ourique,27.1,77.0,4.231807148995191,76.0697,149347.0588235294,800.0
 Miranda do Douro,23.7,72.0,4.220206083993595,48.727199999999996,175000.0,0.0
 Portel,24.4,64.0,4.016572103625563,58.9016,133684.78260869565,0.0
 Figueira de Castelo Rodrigo,25.8,66.0,3.8441119216627015,50.439,65000.0,0.0
 Pampilhosa da Serra,14.6,64.0,3.2764969984361603,18.9654,157500.0,0.0
 Vinhais,20.4,57.0,3.147894926232458,44.614799999999995,85000.0,0.0
 Lagoa,36.6,89.0,3.0708215297450425,9.9186,63000.0,0.0
 Santana,12.5,58.0,2.901435005760972,3.4625,84201.38888888889,0.0
 Vimioso,27.3,62.0,2.583110114412675,33.961200000000005,96000.0,0.0
 Penamacor,24.6,60.0,2.563374784907133,35.547,58325.0,0.0
 Cabeceiras de Basto,21.9,65.0,2.5514845753039452,13.5123,0.0,0.0
 Almeida,34.9,74.0,2.2124406347735435,39.995400000000004,76787.5,0.0
 Santa Cruz,15.1,71.0,2.127659574468085,2.6123,196603.125,280.0
 Oleiros,15.6,63.0,0.9531087477976607,7.0043999999999995,126687.5,400.0
 Vila Verde,28.7,66.0,0.6603402282765558,4.333699999999999,64982.5,0.0
 Pombal,21.0,82.0,0.36741214057507987,4.83,177342.5909090909,502.0
,,,,,219627.0564516129,0.0
