CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice,Parish,County,District,frequency
24.0,95.53,782.3865709767668,1543.68,474000.0,663.5714285714286, Póvoa de Varzim, Beiriz e Argivai, Porto,557
24.0,84.82,633.3148045210302,3281.28,206821.42857142858,515.0, Santa Maria da Feira, Travanca, Aveiro,403
19.4,92.7,536.1288530963621,749.0727999999999,184666.66666666666,0.0, Trofa, Segadães e Lamas do Vouga, Aveiro,19
21.0,85.75,496.37521968365553,1423.485,185000.0,450.0, Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães, Porto,61
19.1,83.14,410.9993792675357,1264.6492000000003,154437.98449612403,150.0, Oliveira de Azeméis, Santiago de Riba-Ul, Aveiro,324
23.3,88.9,372.21394719025056,1280.9408,77500.0,390.0, Ovar, São João, Aveiro,294
25.0,83.83,368.357614505817,878.625,204666.66666666666,450.0, Esposende, Marinhas e Gandra, Braga,195
22.3,91.66,345.0479233226837,578.016,196225.0,466.6666666666667, Valongo, Porto, Porto,183
28.2,58.27,317.270461951313,466.7664,100000.0,475.0, Câmara de Lobos, Ilha da Madeira, Ilha da Madeira,153
19.6,78.87,308.2000527843758,2288.8292,241400.0,450.0, Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro), Braga,82
35.8,103.45,270.58661979567177,1763.6154,369736.84210526315,3500.0, Portimão, Faro, Faro,2766
22.2,103.43,227.64515386929514,2855.808,360000.0,783.3333333333334, Leiria, Pousos, Leiria,389
27.7,96.17,197.16835536469168,813.9368,289000.0,675.0, Vila do Conde, Porto, Porto,340
41.6,91.83,191.88571428571427,488.9248,205000.0,500.0, Vila Real de Santo António, Faro, Faro,217
25.4,92.26,180.89571872757713,768.4262,48500.0,1059.090909090909, Loures, Lisboa, Lisboa,130
22.5,86.91,174.93222483282125,435.555,55000.0,650.0, Mealhada, Ventosa do Bairro e Antes, Aveiro,35
33.1,98.49,172.6355140186916,1069.9906,211555.55555555556,850.0, Marinha Grande, Leiria, Leiria,275
26.8,85.85,170.2901353965184,353.9208,155250.0,400.0, Peniche, Leiria, Leiria,171
21.8,78.16,144.23443223443223,214.59920000000002,75000.0,0.0, Machico, Ilha da Madeira, Ilha da Madeira,69
19.7,79.35,136.3431469221017,190.6763,262000.0,400.0, Paços de Ferreira, Porto, Porto,17
20.8,69.49,133.39587242026266,73.944,257250.0,600.0, Mesão Frio, Guimarães, Braga,37
19.4,79.82,131.38555754018884,399.56239999999997,99000.0,550.0, Paredes, Porto, Porto,60
28.9,85.59,126.10699987868493,300.4155,246500.0,520.0, Nazaré, Leiria, Leiria,285
23.2,91.0,119.07388404309903,215.3656,129000.0,500.0, Arruda dos Vinhos, Lisboa, Lisboa,32
34.4,82.66,116.40058055152396,469.0096,106763.63636363637,450.0, Valença, Cristelo Covo e Arão, Viana do Castelo,52
43.4,81.13,108.5740486015589,616.6271999999999,466250.0,70.0, Olhão, Faro, Faro,610
30.9,118.78,103.07728264256777,408.8379,408480.76923076925,836.6666666666666, Alcochete, Setúbal, Setúbal,470
28.9,68.43,95.40177207454936,180.4805,215000.0,0.0, Ribeira Brava, Ilha da Madeira, Ilha da Madeira,47
13.4,55.19,92.02334630350195,57.043800000000005,100000.0,300.0, Ponta do Sol, Ilha da Madeira, Ilha da Madeira,50
18.5,84.76,85.27364146199962,163.1515,92450.0,240.0, Batalha, Leiria, Leiria,52
25.7,82.42,83.43519109732738,470.1558,120000.0,270.0, Mangualde, Mesquitela e Cunha Alta, Viseu,30
19.3,78.91,73.9728609121749,303.01,170000.0,612.0, Penafiel, Porto, Porto,39
20.1,72.25,73.75328083989501,73.42530000000001,163500.0,300.0, Vila Nova da Barquinha, Santarém, Santarém,50
36.6,84.78,73.4563473951881,412.33560000000006,195000.0,450.0, São Brás de Alportel, Faro, Faro,305
26.8,77.14,73.25922818791946,187.22480000000002,61500.0,0.0, Alpiarça, Santarém, Santarém,94
30.7,79.7,73.21346770499314,196.26510000000002,95666.66666666667,625.0, Oliveira do Bairro, Aveiro, Aveiro,81
22.8,96.28,71.29093091033774,474.05760000000004,165500.0,390.0, Mafra, Lisboa, Lisboa,310
23.0,75.25,70.56782910352382,355.58,138000.0,0.0, Fafe, Braga, Braga,91
35.2,103.37,66.94817658349328,122.7776,189166.66666666666,0.0, Sobral de Monte Agraço, Lisboa, Lisboa,11
24.6,77.49,65.42827657378741,233.946,89750.0,270.0, Oliveira de Frades, Souto de Lafões e Sejães, Viseu,16
41.5,128.74,64.54500737825873,544.563,395000.0,455.0, Sines, Setúbal, Setúbal,77
23.0,64.43,60.72154192521003,254.334,159333.33333333334,265.0, Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo,22
22.3,98.38,57.688802287941165,409.3388,251613.63636363635,610.0, Vila Franca de Xira, Lisboa, Lisboa,90
16.2,67.32,56.29055230257953,115.2468,48700.0,300.0, Miranda do Corvo, Coimbra, Coimbra,59
30.7,72.2,56.13964363460453,213.7641,65000.0,0.0, Mira, Coimbra, Coimbra,22
31.7,86.17,55.72213218080317,392.35089999999997,92392.85714285714,0.0, Almeirim, Santarém, Santarém,184
22.7,94.41,51.02741076710708,587.3851999999999,187250.0,812.5, Viseu,0.0, Viseu,422
27.3,76.15,49.9414721476279,594.0207,184000.0,0.0, Seia, São Romão e Lapa dos Dinheiros, Guarda,56
25.7,69.26,48.02298536051443,90.207,150000.0,0.0, Murtosa, Aveiro, Aveiro,11
28.1,95.23,47.744952560816586,298.3658,127400.0,0.0, Vendas Novas, Évora, Évora,36
25.5,90.24,45.904824754362814,319.2855,178940.0,0.0, Rio Maior, Santarém, Santarém,107
32.2,103.0,45.15669515669516,30.622200000000003,700000.0,1900.0, Espinho, Aveiro, Aveiro,402
15.8,68.74,43.384439031379856,239.1962,74950.0,450.0, São Pedro do Sul, Várzea e Baiões, Viseu,29
23.8,82.59,42.587760910815945,85.4658,87900.0,550.0, Golegã, Santarém, Santarém,31
32.8,98.13,40.355177158582734,615.656,26000.0,475.0, Palmela, Setúbal, Setúbal,278
36.5,77.94,37.876321051128244,968.0165,70000.0,290.0, Fundão, Valverde, Castelo Branco,45
22.4,59.55,37.28498372849837,143.7184,55000.0,0.0, Mondim de Basto, Vila Real, Vila Real,12
19.9,96.2,37.17314983850583,526.7728999999999,15800.0,1200.0, Guarda,0.0, Guarda,51
25.2,77.1,36.89443958316761,116.87759999999999,65000.0,0.0, Nelas, Viseu, Viseu,17
21.4,74.13,35.67162990683971,191.744,196875.0,0.0, Mortágua, Vale de Remígio, Viseu,4
36.5,106.2,31.451305870707376,301.5265,29000.0,542.5, Azambuja, Lisboa, Lisboa,14
23.0,89.7,31.138404376096606,69.391,110000.0,350.0, Vila do Porto, Ilha de Santa Maria, Ilha de Santa Maria,6
33.0,73.13,28.684470820969338,57.42,80000.0,0.0, Santa Cruz da Graciosa, Ilha da Graciosa, Ilha da Graciosa,2
15.7,70.67,28.14834377122161,117.1377,55000.0,0.0, Soure, Coimbra, Coimbra,61
27.9,70.92,27.63281717854393,90.117,50000.0,0.0, Carregal do Sal, Viseu, Viseu,23
17.3,62.65,26.54816840426138,80.618,360000.0,0.0, Vila Nova de Paiva, Alhais e Fráguas, Viseu,5
22.5,92.3,26.235030999631967,625.5225,330000.0,785.0, Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra, Setúbal,44
22.0,59.49,24.961491690312123,67.738,140000.0,0.0, Resende, Viseu, Viseu,3
34.4,81.95,23.470865001809628,44.6168,32000.0,575.0, Moita, Anadia, Aveiro,237
28.5,68.62,23.44004340748779,61.56,140000.0,0.0, Sardoal, Santarém, Santarém,11
40.4,76.16,22.55990648743425,15.5944,200000.0,0.0, Corvo, Ilha do Corvo, Ilha do Corvo,1
48.5,88.44,21.88689888591172,75.272,334000.0,0.0, Santa Cruz das Flores, Ilha das Flores, Ilha das Flores,5
26.8,110.66,21.60598022666988,48.0256,55500.0,0.0, Maia, Ribeira Grande, Ilha de São Miguel,1
24.9,74.0,20.93470896211888,67.70309999999999,111333.33333333333,0.0, Sever do Vouga, Aveiro, Aveiro,24
13.9,73.46,20.023851439604748,49.0114,67000.0,330.0, Ansião, Leiria, Leiria,34
32.3,89.09,19.6642196846112,93.4439,359500.0,887.5, Madalena, Ilha do Pico, Ilha do Pico,355
26.4,56.92,19.126869271587072,41.8704,79000.0,0.0, Porto Moniz, Ilha da Madeira, Ilha da Madeira,21
11.9,61.87,18.921461820342675,45.4699,85000.0,250.0, Sátão, Viseu, Viseu,15
25.0,68.63,18.4093297962861,91.95,72214.14285714286,0.0, Tábua, Coimbra, Coimbra,28
32.9,84.38,18.16460444677329,501.8237,71500.0,275.0, Ponte de Sor, Tramaga e Vale de Açor, Portalegre,35
30.9,94.4,17.98879895661514,289.81109999999995,57858.333333333336,700.0, Benavente, Santarém, Santarém,111
20.9,67.88,17.978964495322217,64.6646,174842.85714285713,0.0, Cuba, Beja, Beja,55
18.8,89.3,17.78447626224567,8.8736,322831.77777777775,1300.0, Odivelas, Lisboa, Lisboa,261
25.4,66.28,17.64871722582464,47.7012,61950.0,0.0, Povoação, Ilha de São Miguel, Ilha de São Miguel,36
31.3,67.94,17.52233009708738,70.61280000000001,208750.0,0.0, Pedrógão Grande, Leiria, Leiria,33
26.6,83.0,17.312128202015295,303.45279999999997,54000.0,400.0, Mirandela, Bragança, Bragança,58
25.4,62.06,16.192973256423702,117.65279999999998,270000.0,0.0, Mêda, Outeiro de Gatos e Fonte Longa, Guarda,3
19.9,68.81,16.043302165108255,127.69829999999999,56125.0,0.0, Mação, Penhascoso e Aboboreira, Santarém,21
41.4,76.86,15.69126253565862,441.77939999999995,170166.66666666666,562.5, Silves, Faro, Faro,185
32.4,76.77,15.572903595884272,562.95,159441.125,350.0, Coruche, Fajarda e Erra, Santarém,46
22.8,89.44,14.60344827586207,154.49280000000002,60000.0,100.0, Reguengos de Monsaraz, Évora, Évora,93
22.3,71.85,14.232361776406593,117.2757,95000.0,500.0, Redondo, Évora, Évora,25
22.8,66.24,13.53693552597233,59.120400000000004,89000.0,500.0, Vila de Rei, Castelo Branco, Castelo Branco,25
24.2,72.56,13.473462717972824,145.6598,158000.0,390.0, Sertã, Castelo Branco, Castelo Branco,61
26.2,66.29,12.924489703141338,74.4866,78333.33333333333,0.0, Moimenta da Beira, Viseu, Viseu,7
14.9,63.32,12.888092801091778,22.513900000000003,160000.0,0.0, Armamar, Viseu, Viseu,3
19.7,56.87,12.867232228676501,60.656299999999995,46400.0,3250.0, Cinfães, Viseu, Viseu,11
17.6,67.78,12.15463809223658,40.7264,165000.0,350.0, Ferreira do Zêzere, Santarém, Santarém,27
17.2,64.77,12.040945546644153,78.5008,47750.0,200.0, Castro Daire, Viseu, Viseu,10
16.8,83.05,11.91987059848202,16.0944,44100.0,0.0, Constância, Santarém, Santarém,23
24.8,71.82,11.534675311449812,84.27040000000001,162500.0,650.0, Gavião, Vila Nova de Famalicão, Braga,34
23.6,68.2,11.5070304049994,90.388,49814.28571428572,300.0, Arganil, Coimbra, Coimbra,55
11.1,55.32,11.482145525175556,17.0607,45000.0,0.0, Tabuaço, Viseu, Viseu,3
23.9,62.47,11.441805459741795,27.747899999999998,82950.0,0.0, Nordeste, Ilha de São Miguel, Ilha de São Miguel,7
24.4,66.51,11.228813559322035,43.968799999999995,109500.0,0.0, Alvaiázere, Leiria, Leiria,26
21.9,70.03,11.093941149958148,37.7337,195000.0,0.0, Lajes do Pico, Ilha do Pico, Ilha do Pico,4
28.5,61.85,11.07007336200354,124.716,130625.0,0.0, Monchique, Faro, Faro,18
25.6,67.24,10.963777490297542,60.7488,250000.0,0.0, Vieira do Minho, Braga, Braga,12
18.6,67.93,10.91697889962532,154.45440000000002,129200.0,0.0, Mogadouro, Valverde, Bragança,8
33.9,71.74,10.886185347693127,111.0225,193502.9411764706,300.0, Castro Marim, Faro, Faro,177
19.2,58.81,10.87866108786611,27.456,23750.0,0.0, Fornos de Algodres, Guarda, Guarda,8
56.6,63.08,10.683153013910356,195.6096,421100.0,0.0, Aljezur, Faro, Faro,39
24.1,61.17,10.37651159106511,47.3565,84000.0,200.0, Murça, Vila Real, Vila Real,2
21.8,77.12,10.082369713290037,27.7514,343875.0,600.0, Calheta, Calheta (Madeira), Ilha da Madeira,17
41.8,81.51,8.96319190783928,53.3368,60000.0,0.0, São Roque do Pico, Ilha do Pico, Ilha do Pico,7
23.2,73.49,8.780787825042195,142.42479999999998,115000.0,250.0, Macedo de Cavaleiros, Bragança, Bragança,47
46.2,63.35,8.520365752285953,66.297,31000.0,0.0, Barrancos, Beja, Beja,10
30.5,72.81,8.401503426929029,81.13,137375.0,0.0, Vidigueira, Beja, Beja,41
23.3,74.78,8.022840827980014,13.0946,36400.0,0.0, Lajes das Flores, Ilha das Flores, Ilha das Flores,9
33.9,68.01,7.788521913851564,105.12389999999999,30000.0,0.0, Vila Nova de Foz Côa, Guarda, Guarda,8
20.6,61.93,7.239357634463421,23.401600000000002,200000.0,0.0, Sabrosa, Vila Real, Vila Real,1
22.5,63.51,7.147596494840643,70.29,90000.0,450.0, Vila Pouca de Aguiar, Vila Real, Vila Real,11
21.7,63.97,7.11355867831371,40.6441,117500.0,375.0, Góis, Coimbra, Coimbra,16
17.7,79.03,6.818181818181818,30.0015,49000.0,0.0, Fronteira, Portalegre, Portalegre,8
29.9,62.82,6.804672665731033,98.5803,218900.0,0.0, Pinhel, Guarda, Guarda,16
22.7,79.25,6.431782965427896,57.4764,528000.0,250.0, Viana do Alentejo, Évora, Évora,24
23.3,89.69,6.42221058145626,14.2829,172575.0,390.0, Seixal, Arrentela e Aldeia de Paio Pires, Setúbal,647
23.6,69.02,6.372619218101103,42.008,40500.0,700.0, Sousel, Portalegre, Portalegre,8
24.1,62.99,6.10943990832259,41.1146,115000.0,0.0, Carrazeda de Ansiães, Bragança, Bragança,1
20.9,66.03,6.016462183568877,40.48329999999999,249500.0,0.0, Alfândega da Fé, Alfandega da Fé, Bragança,8
23.6,72.91,5.581793575827879,47.695600000000006,58833.333333333336,0.0, Alter do Chão, Portalegre, Portalegre,22
36.2,69.93,5.541398987905107,55.8928,140000.0,0.0, Mourão, Évora, Évora,10
29.9,71.74,5.322663756782152,52.5044,58000.0,0.0, Vila Velha de Ródão, Vila Velha de Rodão, Castelo Branco,22
28.0,82.43,4.987048091001239,61.992,150000.0,0.0, Mora, Évora, Évora,5
32.5,62.31,4.913838513055912,84.89,150000.0,0.0, Torre de Moncorvo, Bragança, Bragança,7
15.5,63.71,4.909334194620034,16.492,43666.666666666664,0.0, Penacova, Coimbra, Coimbra,20
20.5,73.32,4.582084095063985,64.2265,130000.0,400.0, Arraiolos, Évora, Évora,41
36.1,66.68,4.504436473475552,43.0673,84900.0,0.0, Alvito, Beja, Beja,9
27.1,77.28,4.231807148995191,76.0697,105000.0,200.0, Ourique, Beja, Beja,19
23.7,72.66,4.220206083993595,48.727199999999996,175000.0,0.0, Miranda do Douro, Bragança, Bragança,2
24.4,64.79,4.016572103625563,58.9016,154625.0,0.0, Portel, Évora, Évora,23
25.8,66.81,3.8441119216627015,50.439,115000.0,0.0, Figueira de Castelo Rodrigo, Guarda, Guarda,12
14.6,64.57,3.2764969984361603,18.9654,150000.0,0.0, Pampilhosa da Serra, Coimbra, Coimbra,21
20.4,57.89,3.147894926232458,44.614799999999995,85000.0,0.0, Vinhais, Bragança, Bragança,1
46.5,73.87,3.093396787626413,60.45,40280.0,0.0, Monforte, Portalegre, Portalegre,10
12.5,58.29,2.901435005760972,3.4625,70000.0,0.0, Santana, Ilha da Madeira, Ilha da Madeira,42
43.6,74.14,2.6866016469462184,70.9808,160000.0,0.0, Avis, Portalegre, Portalegre,8
27.3,62.28,2.583110114412675,33.961200000000005,125000.0,0.0, Vimioso, Bragança, Bragança,3
24.6,60.56,2.563374784907133,35.547,69800.0,0.0, Penamacor, Castelo Branco, Castelo Branco,7
17.2,61.02,2.3465246067985794,3.182,421129.92307692306,676.0, São Vicente, Braga, Braga,590
34.9,74.22,2.2124406347735435,39.995400000000004,29650.0,0.0, Almeida, Guarda, Guarda,4
15.1,71.51,2.127659574468085,2.6123,68000.0,280.0, Santa Cruz, Almodôvar, Beja,131
28.4,66.56,1.9360028463805334,71.0852,408250.0,475.0, Mértola, Beja, Beja,15
41.7,107.75,1.2060603459375938,11.7177,59022.22222222222,0.0, Ponta Delgada, Santa Cruz das Flores, Ilha das Flores,18
15.6,63.59,0.9531087477976607,7.0043999999999995,32500.0,400.0, Oleiros, Vila Verde, Braga,16
41.4,90.66,0.9303131861782041,6.6654,90000.0,0.0, Horta, Vila Nova de Foz Côa, Guarda,1
28.7,66.79,0.6603402282765558,4.333699999999999,58783.333333333336,0.0, Vila Verde, Alijó, Vila Real,71
21.0,82.15,0.36741214057507987,4.83,242500.0,527.5, Pombal, Leiria, Leiria,101
27.3,95.84,0.2294550789534067,9.009,350000.0,250.0, Castelo Branco,0.0, Castelo Branco,349
0.0,93.53,0.0,0.0,79000.0,600.0, Porto Santo, Ilha de Porto Santo, Ilha de Porto Santo,110
